patient	GATA3	FOXA1
TCGA.A2.A0T2.01	0.164125	-5.07425
TCGA.A2.A04P.01	-0.293125	-1.509375
TCGA.A1.A0SK.01	-6.02525	1.332
TCGA.A2.A0CM.01	-2.95925	-3.626875
TCGA.AR.A1AR.01	-0.15525	-5.55575
TCGA.B6.A0WX.01	-1.38775	0.96725
TCGA.BH.A1F0.01	-2.970125	-1.980125
TCGA.B6.A0I6.01	-3.80825	-2.182
TCGA.BH.A18V.01	-2.178875	-4.066
TCGA.BH.A18Q.01	-1.48875	-1.913375
TCGA.BH.A18K.01	-1.011875	-6.228
TCGA.BH.A0HL.01	-2.151375	-5.565375
TCGA.BH.A0E0.01	0.583	-3.83425
TCGA.BH.A0RX.01	0.0315	-1.381
TCGA.A7.A13D.01	-1.74525	-2.21775
TCGA.BH.A0E6.01	0.37475	-1.93225
TCGA.AO.A0J4.01	-3.02475	-5.251625
TCGA.A7.A0CE.01	-1.031	-2.284
TCGA.A7.A13E.01	-4.3955	-6.684625
TCGA.A7.A0DA.01	-1.06175	-4.2415
TCGA.D8.A142.01	-1.39225	1.554125
TCGA.D8.A143.01	-2.502375	1.99775
TCGA.AQ.A04J.01	-1.15875	-1.522375
TCGA.BH.A0HN.01	-0.556875	1.7425
TCGA.A2.A0T0.01	0.342875	-0.676625
TCGA.A2.A0YE.01	-2.9355	-4.06475
TCGA.A2.A0YJ.01	-4.565	-4.9965
TCGA.A2.A0D0.01	-2.202125	-3.78425
TCGA.A2.A04U.01	-3.758125	-3.3555
TCGA.AO.A0J6.01	-0.578	-3.8105
TCGA.A2.A0YM.01	-2.713	-3.7095
TCGA.A2.A0D2.01	-1.291625	-2.9135
TCGA.BH.A0B3.01	-0.138	-2.615375
TCGA.A2.A04Q.01	-0.802625	-0.92825
TCGA.A2.A0SX.01	-1.734875	-1.47175
TCGA.AO.A0JL.01	-1.79525	-2.983875
TCGA.AO.A12F.01	-0.192	-2.41475
TCGA.BH.A0B9.01	-2.58225	-3.3245
TCGA.A2.A04T.01	-2.315375	-5.581125
TCGA.B6.A0RT.01	-0.69175	-4.395
TCGA.AO.A128.01	-2.92075	-0.12625
TCGA.AO.A129.01	-0.21325	-3.826125
TCGA.AO.A124.01	-1.76325	-3.7715
TCGA.B6.A0RU.01	-1.36025	-1.140375
TCGA.B6.A0IQ.01	-0.547375	-2.276375
TCGA.B6.A0I2.01	-2.087375	-2.722625
TCGA.B6.A0IJ.01	-1.99325	-2.6895
TCGA.B6.A0X1.01	-0.7675	-4.756625
TCGA.B6.A0RE.01	0.444875	-3.686625
TCGA.A2.A0ST.01	-0.07625	-1.0035
TCGA.AR.A0TP.01	-5.2445	-2.684375
TCGA.A1.A0SO.01	-4.87925	1.9165
TCGA.A8.A07C.01	-4.39275	-1.416375
TCGA.A8.A07O.01	-2.05	-6.164625
TCGA.A8.A07R.01	-0.931375	-4.57275
TCGA.A8.A07U.01	-0.690625	-3.973
TCGA.A8.A08H.01	-1.3665	-0.04975
TCGA.A8.A08R.01	-3.77425	-2.805875
TCGA.AN.A04D.01	-4.942875	-3.314
TCGA.AN.A0AL.01	-1.5975	-0.212875
TCGA.AN.A0AR.01	0.363375	-0.829125
TCGA.AN.A0AT.01	-3.624	-2.584875
TCGA.AN.A0FJ.01	-3.624625	-1.873875
TCGA.AN.A0FL.01	0.268875	-0.86125
TCGA.AN.A0FX.01	-1.868375	-1.777375
TCGA.AN.A0G0.01	-1.70975	0.9625
TCGA.AN.A0XU.01	-2.235625	-4.595375
TCGA.AR.A0TS.01	-2.98025	-5.209875
TCGA.AR.A0TU.01	-0.71925	-3.405125
TCGA.AR.A0U0.01	-3.10275	-5.053875
TCGA.AR.A0U1.01	-2.29075	-1.9
TCGA.AR.A0U4.01	-1.232125	1.24975
TCGA.AR.A1AH.01	-0.5285	-5.575875
TCGA.AR.A1AI.01	-0.768	-3.360375
TCGA.AR.A1AJ.01	-0.67325	-5.186375
TCGA.AR.A1AQ.01	-0.40875	-2.8855
TCGA.AR.A1AY.01	-2.38375	-3.51075
TCGA.BH.A0AV.01	-3.81625	-3.4345
TCGA.BH.A0BG.01	-2.0325	-4.76075
TCGA.BH.A0BL.01	-0.282	-3.323875
TCGA.BH.A0BW.01	-1.131375	-1.12775
TCGA.BH.A0DL.01	-0.7945	-4.129125
TCGA.BH.A0WA.01	-3.226625	-4.176625
TCGA.BH.A18G.01	0.6325	-1.481125
TCGA.C8.A12K.01	-1.502625	-2.6425
TCGA.C8.A12V.01	-1.074875	-3.773
TCGA.C8.A131.01	-0.70025	2.383625
TCGA.C8.A134.01	-1.124	-4.307875
TCGA.D8.A147.01	-3.499625	-6.361625
TCGA.E2.A14N.01	0.4115	-2.901125
TCGA.E2.A14R.01	-2.518125	-3.63575
TCGA.E2.A14X.01	-2.527	-2.89775
TCGA.E2.A14Y.01	-2.204875	-1.053375
TCGA.E2.A150.01	-0.4445	-5.236
TCGA.E2.A158.01	-2.852375	-2.687375
TCGA.E2.A159.01	-0.957	1.82975
TCGA.E2.A1AZ.01	-1.30025	-4.01475
TCGA.E2.A1B5.01	-1.202	-3.807625
TCGA.A8.A08L.01	0.88225	3.292
TCGA.BH.A1EV.01	1.9105	3.963125
TCGA.B6.A0I9.01	1.898625	3.66675
TCGA.A8.A09X.01	0.006125	2.504375
TCGA.B6.A0IK.01	-0.133125	2.64525
TCGA.BH.A18P.01	2.051125	4.04225
TCGA.A8.A08J.01	2.34275	3.406625
TCGA.BH.A18R.01	2.276125	2.653375
TCGA.AR.A1AT.01	1.3145	3.126375
TCGA.B6.A0RS.01	0.942875	3.0085
TCGA.BH.A0DZ.01	1.416875	2.70825
TCGA.A2.A0T1.01	0.11025	2.6855
TCGA.AO.A0J2.01	0.150625	2.997125
TCGA.BH.A0AW.01	0.4635	2.226875
TCGA.BH.A0EE.01	-1.164625	2.929875
TCGA.A2.A0D1.01	1.814625	3.582375
TCGA.AO.A03N.01	2.716375	3.6315
TCGA.A2.A0CY.01	0.043375	3.405625
TCGA.A2.A04X.01	1.619375	3.589
TCGA.A2.A0CX.01	1.477875	3.2175
TCGA.A2.A04W.01	-1.28125	3.42825
TCGA.AO.A12D.01	-1.1815	3.583
TCGA.A2.A0CL.01	1.470375	2.007125
TCGA.AO.A0JE.01	-0.547625	2.1795
