probe_id	4T1	67NR	168FARN
ILMN_1221264	215.901	494.771	459.391
ILMN_1225330	124.998	118.535	115.998
ILMN_1234800	124.226	116.941	140.843
ILMN_1236788	146.412	157.134	151.977
ILMN_1238505	129.937	146.765	141.909
ILMN_1245732	127.305	109.523	131.652
ILMN_1248843	3617.435	1980.516	566.571
ILMN_1258136	349.321	614.58	555.581
ILMN_2472917	153.407	152.973	146.976
ILMN_2598478	173.025	164.048	163.712
ILMN_2632665	863.509	3693.324	11253.22
ILMN_2634689	2494.517	502.962	2192.052
ILMN_2657343	228.194	198.873	239.764
ILMN_2657452	124.099	139.168	165.422
ILMN_2711461	483.015	229.09	312.025
ILMN_2731901	8198.179	35556.059	16971.754
ILMN_2747196	2050.928	3543.858	599.116
ILMN_2770088	133.928	135.055	128.124
